Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
┏━━━━━━━━━━━━━━┳━━━━━━━╸T╺╸R╺╸A╺╸I╺╸N╺━━━━━━━┳━━━━━━━╸S╺╸T╺╸A╺╸T╺╸S╺━━━━━━━┳━━━━━━━╸V╺╸A╺╸L╺╸I╺╸D╺━━━━━━━┓
┃              ┃              ╷              ┃              ╷              ┃              ╷              ┃
┃       epoch  ┃        loss  │    accuracy  ┃        l.r.  │     elapsed  ┃        loss  │    accuracy  ┃
┠──────────────╂──────────────┼──────────────╂──────────────┼──────────────╂──────────────┼──────────────┨
┃           0  ┃      1.7680  │     11.37 %  ┃   1.000e-01  │   00:12 min  ┠┈▓┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.5000 | Δ: 0.0000 | current_val_loss: 2.4256 | running_val_loss: 2.4256 | best_val_loss: 2.4256
┃           0  ┃      1.6865  │     20.31 %  ┃   1.000e-01  │   00:15 min  ┠┈█▒┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.7664 | current_val_loss: 1.5741 | running_val_loss: 2.3405 | best_val_loss: 1.5741
┃           0  ┃      1.6450  │     19.53 %  ┃   1.000e-01  │   00:18 min  ┠┈██┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.6899 | current_val_loss: 1.5760 | running_val_loss: 2.2640 | best_val_loss: 1.5741
┃           0  ┃      1.6738  │     20.78 %  ┃   1.000e-01  │   00:21 min  ┠┈██▓┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.6360 | current_val_loss: 1.7246 | running_val_loss: 2.2101 | best_val_loss: 1.5741
┃           0  ┃      1.6398  │     21.17 %  ┃   1.000e-01  │   00:24 min  ┠┈███▒┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.5776 | current_val_loss: 1.6264 | running_val_loss: 2.1517 | best_val_loss: 1.5741
┃           0  ┃      1.6441  │     21.17 %  ┃   1.000e-01  │   00:27 min  ┠┈████░┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.5212 | current_val_loss: 1.5870 | running_val_loss: 2.0952 | best_val_loss: 1.5741
┃           0  ┃      1.6442  │     20.55 %  ┃   1.000e-01  │   00:30 min  ┠┈█████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.5453 | current_val_loss: 1.4893 | running_val_loss: 2.0346 | best_val_loss: 1.4893
┃           0  ┃      1.6468  │     20.78 %  ┃   1.000e-01  │   00:33 min  ┠┈█████▓┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.5069 | current_val_loss: 1.6507 | running_val_loss: 1.9962 | best_val_loss: 1.4893
┃           0  ┃      1.6409  │     20.39 %  ┃   1.000e-01  │   00:37 min  ┠┈██████▒┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.5152 | current_val_loss: 2.0794 | running_val_loss: 2.0046 | best_val_loss: 1.4893
┃           0  ┃      1.7012  │     17.58 %  ┃   1.000e-01  │   00:40 min  ┠┈███████░┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.4689 | current_val_loss: 1.5411 | running_val_loss: 1.9582 | best_val_loss: 1.4893
┃           0  ┃      1.7156  │     17.58 %  ┃   1.000e-01  │   00:43 min  ┠┈████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.4434 | current_val_loss: 1.7037 | running_val_loss: 1.9328 | best_val_loss: 1.4893
